latitude,longitude,property_type,room_type,review_scores_rating,accommodates,bedrooms,beds,price
41.89634,-87.65608,Entire rental unit,Entire home/apt,4.9,6,3.0,4.0,178.0
41.94272,-87.68409,Entire condo,Entire home/apt,4.92,4,2.0,2.0,228.0
41.96316,-87.69208,Entire rental unit,Entire home/apt,4.79,2,1.0,1.0,88.0
41.90006,-87.68096,Entire condo,Entire home/apt,4.8,3,1.0,2.0,135.0
41.88152,-87.69768,Private room in townhouse,Private room,4.77,1,1.0,1.0,36.0
41.79606,-87.62382,Private room in condo,Private room,4.75,2,1.0,1.0,80.0
41.85669,-87.65132,Private room in rental unit,Private room,4.89,2,1.0,1.0,65.0
41.85295,-87.70686,Private room in home,Private room,3.67,1,1.0,1.0,45.0
41.85361,-87.62434,Entire rental unit,Entire home/apt,4.76,2,1.0,2.0,90.0
41.89288,-87.68458,Entire rental unit,Entire home/apt,4.92,2,1.0,1.0,147.0
41.90026,-87.66871,Entire rental unit,Entire home/apt,4.91,5,2.0,2.0,189.0
41.78225,-87.72806,Private room in home,Private room,4.85,2,1.0,1.0,39.0
41.77206,-87.56982,Entire condo,Entire home/apt,4.84,2,2.0,1.0,85.0
41.91571,-87.67449,Entire rental unit,Entire home/apt,4.83,3,1.0,1.0,99.0
41.96136,-87.6784,Entire guest suite,Entire home/apt,4.94,4,2.0,2.0,163.0
41.91533279418945,-87.67047882080078,Entire rental unit,Entire home/apt,4.75,6,2.0,4.0,113.0
41.93105,-87.71177,Entire rental unit,Entire home/apt,4.95,6,2.0,3.0,158.0
41.91634,-87.69335,Entire home,Entire home/apt,4.9,16,6.0,10.0,849.0
42.013777799902776,-87.67188185110726,Private room in rental unit,Private room,4.83,2,1.0,1.0,79.0
41.96713,-87.70899,Entire condo,Entire home/apt,4.54,2,3.0,3.0,60.0
41.98908,-87.66697,Entire rental unit,Entire home/apt,4.93,4,1.0,3.0,89.0
41.7879,-87.5878,Private room in condo,Private room,4.99,1,1.0,1.0,125.0
41.90166,-87.68021,Entire rental unit,Entire home/apt,4.72,2,1.0,1.0,100.0
41.91196,-87.63981,Entire rental unit,Entire home/apt,4.71,4,2.0,2.0,122.0
41.92137,-87.67933,Entire loft,Entire home/apt,4.81,6,3.0,3.0,147.0
41.89615,-87.67934,Private room in rental unit,Private room,4.89,2,1.0,1.0,92.0
41.9796,-87.66512,Entire rental unit,Entire home/apt,4.97,1,1.0,1.0,108.0
41.94342,-87.68121,Entire rental unit,Entire home/apt,4.78,8,3.0,3.0,181.0
41.91289,-87.63864,Entire rental unit,Entire home/apt,4.78,10,4.0,4.0,229.0
41.92918,-87.70219,Entire rental unit,Entire home/apt,4.95,5,2.0,3.0,250.0
41.68843,-87.60712,Entire rental unit,Entire home/apt,4.9,2,1.0,1.0,125.0
41.68954,-87.60786,Entire place,Entire home/apt,4.92,1,1.0,1.0,50.0
41.68912,-87.60725,Entire rental unit,Entire home/apt,4.83,2,2.0,1.0,125.0
41.92589,-87.69737,Private room in home,Private room,4.93,1,1.0,1.0,91.0
41.95758,-87.7271,Private room in home,Private room,4.82,2,1.0,1.0,65.0
41.85923,-87.62198,Entire condo,Entire home/apt,4.84,2,2.0,1.0,170.0
41.88413,-87.64315,Entire condo,Entire home/apt,4.84,3,2.0,2.0,191.0
41.97806,-87.65676,Private room in condo,Private room,4.78,1,1.0,1.0,39.0
41.80774,-87.59459,Private room in condo,Private room,4.97,2,1.0,1.0,115.0
41.94107,-87.65492,Entire loft,Entire home/apt,4.9,4,2.0,2.0,132.0
41.89629,-87.65704,Entire home,Entire home/apt,4.85,12,3.0,5.0,208.0
41.88947,-87.66933,Entire rental unit,Entire home/apt,4.51,3,2.0,2.0,114.0
41.92518,-87.69549,Entire rental unit,Entire home/apt,4.81,4,1.0,2.0,67.0
41.96678,-87.6973,Entire guest suite,Entire home/apt,4.92,4,1.0,1.0,101.0
41.93142,-87.69989,Entire rental unit,Entire home/apt,4.88,3,2.0,3.0,150.0
41.96528,-87.6831,Private room in rental unit,Private room,4.56,2,1.0,1.0,36.0
41.99688,-87.66449,Private room in condo,Private room,4.91,2,1.0,1.0,70.0
41.94256,-87.67171,Entire condo,Entire home/apt,4.98,4,2.0,2.0,276.0
41.99178,-87.75747,Private room in home,Private room,4.93,2,1.0,1.0,80.0
41.99405,-87.75746,Private room in home,Private room,4.93,1,1.0,1.0,70.0
41.99373,-87.68279,Private room in condo,Private room,4.9,2,1.0,1.0,63.0
41.90437,-87.6335,Entire rental unit,Entire home/apt,4.87,4,2.0,2.0,97.0
41.93903,-87.65196,Entire rental unit,Entire home/apt,4.69,2,1.0,1.0,86.0
