,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
0,14036776,JJ498748,2025-11-20T00:00:00.000,014XX W BYRON ST,0890,THEFT,FROM BUILDING,APARTMENT,False,False,1922,19,46,6,06,1165702.0,1925989.0,2025,2025-11-27T15:41:26.000,41.952505434,-87.666268255,"
,  
(41.952505434, -87.666268255)"
1,14034022,JJ495613,2025-11-20T00:00:00.000,077XX S PHILLIPS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,421,4,7,43,14,1193873.0,1854126.0,2025,2025-11-27T15:41:26.000,41.754662771,-87.565076199,"
,  
(41.754662771, -87.565076199)"
2,14034113,JJ495694,2025-11-20T00:00:00.000,002XX S WHIPPLE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1124,11,28,27,07,1156082.0,1898744.0,2025,2025-11-27T15:41:26.000,41.877942941,-87.702368588,"
,  
(41.877942941, -87.702368588)"
3,14040907,JJ503181,2025-11-20T00:00:00.000,086XX S MARQUETTE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,423,4,7,46,05,,,2025,2025-11-27T15:41:26.000,,,
4,14038584,JJ500336,2025-11-20T00:00:00.000,045XX N Malden St,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),False,False,1913,19,46,3,11,1166729.0,1930297.0,2025,2025-11-27T15:41:26.000,41.96430476,-87.662368986,"
,  
(41.96430476, -87.662368986)"
5,14034578,JJ496107,2025-11-20T00:00:00.000,102XX W ZEMKE RD,0710,THEFT,THEFT FROM MOTOR VEHICLE,AIRPORT VENDING ESTABLISHMENT,False,False,1654,16,41,76,06,1106955.0,1941060.0,2025,2025-11-27T15:41:26.000,41.994913946,-87.881937669,"
,  
(41.994913946, -87.881937669)"
6,14034522,JJ496329,2025-11-20T00:00:00.000,043XX W WASHINGTON BLVD,1192,DECEPTIVE PRACTICE,WIC FRAUD,APARTMENT,False,False,1115,11,28,26,11,1147423.0,1900140.0,2025,2025-11-27T15:41:26.000,41.881944008,-87.734126807,"
,  
(41.881944008, -87.734126807)"
7,14038360,JJ500782,2025-11-20T00:00:00.000,040XX W KAMERLING AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,False,False,2534,25,36,23,11,1149181.0,1908686.0,2025,2025-11-27T15:41:26.000,41.905361271,-87.7274498,"
,  
(41.905361271, -87.7274498)"
8,14039117,JJ501807,2025-11-20T00:00:00.000,070XX S YALE AVE,0810,THEFT,OVER $500,APARTMENT,False,False,731,7,6,69,06,1175843.0,1858245.0,2025,2025-11-27T15:41:26.000,41.766388604,-87.631026944,"
,  
(41.766388604, -87.631026944)"
9,14035765,JJ497629,2025-11-20T00:00:00.000,058XX S DR MARTIN LUTHER KING JR DR,0710,THEFT,THEFT FROM MOTOR VEHICLE,OTHER (SPECIFY),False,False,232,2,20,40,06,1179923.0,1866317.0,2025,2025-11-27T15:41:26.000,41.788446586,-87.615825488,"
,  
(41.788446586, -87.615825488)"
