ID,Date,Primary Type,Description,latitude,longitude
7563269,06/17/2010 09:45:00 AM,BURGLARY,FORCIBLE ENTRY,41.861653809,-87.727480805
1771110,09/30/2001 02:43:01 PM,ROBBERY,STRONGARM - NO WEAPON,41.947351106,-87.654445006
12563079,12/09/2021 08:23:00 PM,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,41.746947085,-87.601424603
7290309,12/27/2009 12:00:00 PM,ROBBERY,ARMED: HANDGUN,41.76002733,-87.663661918
9699654,07/16/2014 10:30:00 PM,BURGLARY,UNLAWFUL ENTRY,41.746432297,-87.621258831
1003,08/12/2001 06:17:00 PM,HOMICIDE,FIRST DEGREE MURDER,41.891770726,-87.717959287
13163184,08/03/2023 02:02:00 PM,ASSAULT,AGGRAVATED - HANDGUN,41.786772458,-87.662587971
13118447,06/25/2023 01:07:00 AM,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,41.701048394,-87.639010877
11034352,07/28/2017 06:45:00 PM,ASSAULT,SIMPLE,41.74221153,-87.663231477
11884292,11/06/2019 04:00:00 PM,BATTERY,SIMPLE,41.913410331,-87.637441494
11029952,07/25/2017 02:10:00 AM,ROBBERY,STRONGARM - NO WEAPON,41.891133566,-87.624134682
26759,05/12/2022 01:06:00 AM,HOMICIDE,FIRST DEGREE MURDER,41.818747091,-87.632421508
6820137,03/20/2009 08:47:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,41.923933367,-87.716974195
12407212,06/27/2021 08:42:00 PM,ASSAULT,AGGRAVATED - HANDGUN,41.799551527,-87.588056142
4368638,10/09/2005 02:14:48 PM,ROBBERY,ARMED: HANDGUN,41.722476277,-87.574796951
3363646,06/04/2004 05:33:00 PM,ROBBERY,ARMED: HANDGUN,41.932340346,-87.754687898
2321,08/08/2003 05:50:00 PM,HOMICIDE,FIRST DEGREE MURDER,41.744279918,-87.652356197
12532803,11/05/2021 07:00:00 PM,ROBBERY,STRONG ARM - NO WEAPON,41.812964108,-87.687038808
4696255,04/19/2006 06:00:00 PM,ASSAULT,SIMPLE,41.782250631,-87.688604936
4521846,12/31/2005 10:30:00 PM,ASSAULT,SIMPLE,41.941592322,-87.727261298
7353693,02/06/2010 08:40:00 PM,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,41.752601682,-87.583333183
11564278,01/05/2019 08:00:00 PM,BURGLARY,HOME INVASION,41.908403062,-87.696231191
1433310,03/17/2001 08:40:39 PM,BATTERY,AGGRAVATED: OTHER DANG WEAPON,41.945076408,-87.816859616
9290400,08/30/2013 05:00:00 PM,BURGLARY,UNLAWFUL ENTRY,41.777508708,-87.791765356
3417919,07/05/2004 07:20:00 PM,ASSAULT,SIMPLE,41.690732925,-87.626483021
9575825,04/16/2014 03:00:00 PM,THEFT,FROM BUILDING,41.889716273,-87.631073282
6920771,05/17/2009 06:20:00 PM,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,41.793231003,-87.660921772
6337464,07/01/2008 02:30:00 AM,ROBBERY,STRONGARM - NO WEAPON,41.882193194,-87.698775745
5446319,04/10/2007 02:45:00 PM,ASSAULT,SIMPLE,41.687976553,-87.632583364
9528105,03/12/2014 06:00:00 PM,BURGLARY,UNLAWFUL ENTRY,41.713484192,-87.640583823
10771457,12/01/2016 08:45:00 AM,ROBBERY,ARMED: HANDGUN,41.753365127,-87.70513308
4833616,06/29/2006 02:20:00 PM,BATTERY,SIMPLE,41.713455694,-87.645433394
8820402,08/17/2012 10:00:00 AM,BURGLARY,UNLAWFUL ENTRY,41.927034423,-87.705842821
1878420,12/04/2001 12:45:00 PM,BATTERY,SIMPLE,41.960887539,-87.742653116
3834561,02/06/2005 02:00:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,41.808540691,-87.621194998
6560569,10/15/2008 03:15:00 PM,BURGLARY,UNLAWFUL ENTRY,41.776744775,-87.688462109
22522,06/04/2016 03:37:00 AM,HOMICIDE,FIRST DEGREE MURDER,41.719281774,-87.647250341
10728319,10/21/2016 03:10:00 PM,THEFT,RETAIL THEFT,41.909804314,-87.651606387
10727564,10/24/2016 09:40:00 AM,THEFT,RETAIL THEFT,41.917293959,-87.715744759
8638474,05/31/2012 11:00:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,41.921289781,-87.715276317
12114976,07/23/2020 01:08:00 PM,THEFT,$500 AND UNDER,41.876820281,-87.702320881
2196213,06/20/2002 10:44:57 PM,ASSAULT,SIMPLE,41.795526092,-87.589815387
7525120,05/26/2010 05:30:00 AM,THEFT,$500 AND UNDER,41.868780233,-87.627458476
6198168,04/17/2008 09:30:00 PM,THEFT,OVER $500,41.776976644,-87.644718341
20345,03/29/2012 06:01:00 PM,HOMICIDE,FIRST DEGREE MURDER,41.750400515,-87.660408795
12222068,11/15/2020 04:40:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,41.777810401,-87.593008043
2535876,01/07/2003 12:30:00 PM,BURGLARY,UNLAWFUL ENTRY,41.798975283,-87.601294973
3623546,10/27/2004 03:50:00 AM,BURGLARY,ATTEMPT FORCIBLE ENTRY,41.745239296,-87.602587289
9460215,01/13/2014 04:00:00 PM,BURGLARY,UNLAWFUL ENTRY,41.863684959,-87.70307782
4700167,04/21/2006 01:00:00 PM,BATTERY,SIMPLE,41.985999837,-87.655266727
1694539,08/16/2001 05:15:00 PM,BATTERY,AGGRAVATED: OTHER DANG WEAPON,41.809749528,-87.597034742
2786561,06/16/2003 02:57:09 PM,ROBBERY,STRONGARM - NO WEAPON,41.876579441,-87.629256335
10853785,02/17/2017 11:00:00 PM,THEFT,OVER $500,41.762475554,-87.708533666
8368217,11/23/2011 12:45:00 AM,ROBBERY,ARMED: HANDGUN,41.687899504,-87.681032038
11315418,05/15/2018 03:04:00 AM,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,41.855674083,-87.666086138
11818744,09/05/2019 03:14:00 PM,BURGLARY,FORCIBLE ENTRY,41.684503334,-87.68368758
5563059,05/29/2007 07:30:00 AM,BURGLARY,FORCIBLE ENTRY,41.952650332,-87.656329835
10354019,12/21/2015 08:30:00 AM,ASSAULT,SIMPLE,41.861626117,-87.625697981
11603608,02/22/2019 01:40:00 AM,ASSAULT,AGGRAVATED: HANDGUN,41.67150655,-87.633281772
11066844,08/20/2017 12:05:00 PM,ASSAULT,SIMPLE,41.791626705,-87.649948435
1790205,10/11/2001 12:55:00 AM,ROBBERY,AGGRAVATED,41.793832261,-87.645209039
1382736,02/14/2001 02:00:00 AM,BATTERY,SIMPLE,41.747807144,-87.598585813
2995891,10/16/2003 09:30:00 AM,ROBBERY,STRONGARM - NO WEAPON,41.90005699,-87.698058948
11990563,02/24/2020 11:40:00 AM,BATTERY,SIMPLE,41.839991916,-87.72565211
4907964,08/06/2006 02:50:00 AM,ROBBERY,STRONGARM - NO WEAPON,41.877959571,-87.624313409
12201371,10/23/2020 03:40:00 PM,THEFT,OVER $500,41.793640904,-87.666271527
2947239,09/16/2003 05:30:00 PM,ASSAULT,SIMPLE,41.784624638,-87.653414435
10996156,06/23/2017 09:00:00 AM,THEFT,OVER $500,41.776725203,-87.695772686
4821371,06/23/2006 06:39:26 AM,ROBBERY,ARMED: HANDGUN,41.768740498,-87.651071163
3120487,01/01/2004 02:35:00 PM,BATTERY,SIMPLE,41.909462799,-87.758733656
3246708,03/25/2004 01:17:00 AM,ASSAULT,SIMPLE,41.766382555,-87.65050965
9605680,05/08/2014 10:45:00 PM,ROBBERY,ARMED: HANDGUN,41.751228566,-87.608408585
1770331,09/30/2001 11:00:00 AM,BURGLARY,FORCIBLE ENTRY,41.701964973,-87.647690787
2189892,06/12/2002 11:00:00 PM,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,41.790588412,-87.623986286
20800,02/08/2013 05:35:00 AM,HOMICIDE,FIRST DEGREE MURDER,41.768775762,-87.648695394
2677,04/16/2004 12:39:00 AM,HOMICIDE,FIRST DEGREE MURDER,41.966010744,-87.70839843
12191691,10/12/2020 12:00:00 AM,BURGLARY,FORCIBLE ENTRY,41.957875995,-87.648119936
4630,07/13/2008 12:05:00 AM,HOMICIDE,FIRST DEGREE MURDER,41.818175049,-87.634471127
1740343,09/12/2001 12:40:00 PM,THEFT,OVER $500,41.775218436,-87.586438883
2632220,03/15/2003 08:30:00 PM,ASSAULT,SIMPLE,41.951344901,-87.815794388
25487,09/22/2020 10:58:00 AM,HOMICIDE,FIRST DEGREE MURDER,41.883208624,-87.686489297
5805474,09/27/2007 04:30:00 PM,THEFT,$500 AND UNDER,41.884467467,-87.634373439
9229781,07/23/2013 06:05:00 PM,ROBBERY,ARMED: HANDGUN,41.851826896,-87.701058025
6135225,03/15/2008 04:19:00 PM,THEFT,RETAIL THEFT,41.705722012,-87.701312362
7125735,09/12/2009 09:30:00 PM,THEFT,$500 AND UNDER,41.99789632,-87.761716988
11083612,09/10/2017 10:57:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,41.72909273,-87.571879931
7205158,11/01/2009 01:23:00 AM,BATTERY,SIMPLE,41.727051142,-87.59974919
4978600,09/09/2006 04:30:00 PM,THEFT,FROM BUILDING,41.831478244,-87.646126931
23632,10/09/2017 02:53:00 PM,HOMICIDE,FIRST DEGREE MURDER,41.761720991,-87.589666974
24260,10/30/2018 03:34:00 PM,HOMICIDE,FIRST DEGREE MURDER,41.797683743,-87.663999836
1753187,09/20/2001 10:30:00 AM,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,41.896103865,-87.684552068
6084904,02/19/2008 08:30:00 AM,THEFT,POCKET-PICKING,41.904370109,-87.631460067
26594,02/01/2022 04:43:00 PM,HOMICIDE,FIRST DEGREE MURDER,41.831061814,-87.621459125
8668936,06/18/2012 07:00:00 PM,BURGLARY,FORCIBLE ENTRY,41.811709152,-87.644401481
2586003,02/12/2003 02:45:25 AM,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,41.787612438,-87.687531843
7587608,07/01/2010 10:00:00 PM,BURGLARY,FORCIBLE ENTRY,41.959913633,-87.688640745
1901004,12/18/2001 03:30:00 PM,THEFT,OVER $500,41.92418728,-87.65492948
7041814,07/26/2009 04:15:00 AM,ASSAULT,SIMPLE,41.930546105,-87.752609371
6555942,10/15/2008 02:10:00 PM,ASSAULT,SIMPLE,41.96529766,-87.664634618
9692440,07/12/2014 09:00:00 AM,BURGLARY,UNLAWFUL ENTRY,41.937060388,-87.661926926
12254754,12/27/2020 07:30:00 AM,ASSAULT,SIMPLE,41.911952129,-87.771551691
4788834,06/07/2006 06:00:00 PM,ASSAULT,SIMPLE,41.749086003,-87.561338837
3498153,08/21/2004 08:25:00 AM,BATTERY,SIMPLE,41.959844358,-87.729393644
10176420,07/31/2015 11:25:00 PM,ASSAULT,AGGRAVATED: HANDGUN,41.853046996,-87.702855588
3191905,02/19/2004 06:21:00 AM,ROBBERY,STRONGARM - NO WEAPON,41.893329122,-87.624606228
5752426,08/29/2007 02:00:00 AM,ROBBERY,VEHICULAR HIJACKING,41.881890812,-87.721436189
8741140,08/05/2012 07:10:00 PM,ASSAULT,AGGRAVATED: HANDGUN,41.811400624,-87.695520651
1870678,11/27/2001 03:50:00 PM,BATTERY,SIMPLE,41.721512719,-87.624610978
3442141,07/22/2004 12:45:00 AM,ROBBERY,ARMED: HANDGUN,41.808101843,-87.66981518
8209324,08/11/2011 07:10:00 PM,ASSAULT,SIMPLE,41.867676561,-87.666405578
7930928,02/15/2011 06:30:00 AM,THEFT,$500 AND UNDER,41.883946038,-87.682464349
8988723,01/29/2013 09:30:00 AM,ROBBERY,STRONGARM - NO WEAPON,41.750772111,-87.624538423
5195867,12/21/2006 02:51:23 AM,BURGLARY,FORCIBLE ENTRY,41.821952199,-87.691057451
8229657,08/24/2011 01:25:00 PM,ROBBERY,AGGRAVATED,41.931138908,-87.690308714
11358689,06/24/2018 09:44:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,41.779090182,-87.599141734
9202277,07/02/2013 12:00:00 PM,THEFT,FINANCIAL ID THEFT: OVER $300,41.706987456,-87.620244029
5562072,05/28/2007 03:45:00 AM,ROBBERY,ARMED: HANDGUN,41.879658582,-87.734228944
3977755,05/06/2005 06:10:00 PM,ROBBERY,STRONGARM - NO WEAPON,41.855748174,-87.666085367
1839707,11/09/2001 07:00:00 PM,BATTERY,AGGRAVATED: OTHER DANG WEAPON,41.788968977,-87.762311765
5055944,10/16/2006 05:45:00 PM,THEFT,$500 AND UNDER,41.931450674,-87.65716044
6807744,03/12/2009 04:30:00 PM,THEFT,FROM BUILDING,41.875580565,-87.716080427
5887180,11/04/2007 06:05:34 AM,ASSAULT,SIMPLE,41.69411697,-87.647821742
9006074,02/10/2013 04:30:00 PM,BATTERY,AGGRAVATED: OTHER DANG WEAPON,41.726596765,-87.605978356
2387601,09/30/2002 02:22:00 PM,ROBBERY,AGGRAVATED,41.87551051,-87.745084907
4997811,09/18/2006 10:40:00 AM,ROBBERY,ARMED: HANDGUN,41.720965046,-87.68039371
9624838,05/19/2014 03:00:00 PM,THEFT,FROM BUILDING,41.903558474,-87.624864127
4681064,02/07/2006 03:00:00 PM,BATTERY,SIMPLE,41.900671867,-87.638843428
11002053,07/01/2017 02:30:00 AM,BURGLARY,UNLAWFUL ENTRY,41.750472935,-87.597895771
11473062,10/10/2018 07:00:00 PM,BATTERY,AGGRAVATED: OTHER DANG WEAPON,41.720699477,-87.536499312
1399,03/21/2002 04:00:00 PM,HOMICIDE,FIRST DEGREE MURDER,41.765129284,-87.616855105
10020883,04/03/2015 09:49:00 PM,BURGLARY,UNLAWFUL ENTRY,41.672186757,-87.622487661
4752511,05/21/2006 09:45:00 AM,BATTERY,SIMPLE,41.777681822,-87.610743103
8171104,07/19/2011 04:45:00 PM,BURGLARY,ATTEMPT FORCIBLE ENTRY,41.80867602,-87.624439683
