neighbourhood_cleansed,room_type,crime_count,price,number_of_reviews,review_scores_rating 
West Town,Entire home/apt,43,178.0,534,4.9
North Center,Entire home/apt,20,228.0,107,4.92
Lincoln Square,Entire home/apt,18,88.0,289,4.79
West Town,Entire home/apt,61,135.0,190,4.8
East Garfield Park,Private room,232,36.0,185,4.77
Washington Park,Private room,136,80.0,127,4.75
Lower West Side,Private room,63,65.0,246,4.89
South Lawndale,Private room,218,45.0,6,3.67
Near South Side,Entire home/apt,38,90.0,17,4.76
West Town,Entire home/apt,104,147.0,179,4.92
West Town,Entire home/apt,40,189.0,276,4.91
West Lawn,Private room,26,39.0,377,4.85
South Shore,Entire home/apt,132,85.0,245,4.84
Logan Square,Entire home/apt,29,99.0,517,4.83
North Center,Entire home/apt,16,163.0,191,4.94
Logan Square,Entire home/apt,21,113.0,152,4.75
Logan Square,Entire home/apt,42,158.0,488,4.95
Logan Square,Entire home/apt,54,849.0,88,4.9
Rogers Park,Private room,37,79.0,18,4.83
Albany Park,Entire home/apt,33,60.0,13,4.54
Edgewater,Entire home/apt,14,89.0,416,4.93
Hyde Park,Private room,62,125.0,250,4.99
West Town,Entire home/apt,56,100.0,564,4.72
Lincoln Park,Entire home/apt,31,122.0,114,4.71
Logan Square,Entire home/apt,21,147.0,236,4.81
West Town,Private room,69,92.0,129,4.89
Edgewater,Entire home/apt,21,108.0,32,4.97
North Center,Entire home/apt,17,181.0,77,4.78
Lincoln Park,Entire home/apt,28,229.0,87,4.78
Logan Square,Entire home/apt,39,250.0,682,4.95
Pullman,Entire home/apt,103,125.0,319,4.9
Pullman,Entire home/apt,109,50.0,48,4.92
Pullman,Entire home/apt,103,125.0,6,4.83
Logan Square,Private room,38,91.0,30,4.93
Irving Park,Private room,35,65.0,200,4.82
Near South Side,Entire home/apt,38,170.0,35,4.84
Near West Side,Entire home/apt,63,191.0,63,4.84
Edgewater,Private room,22,39.0,71,4.78
Kenwood,Private room,46,115.0,295,4.97
Lake View,Entire home/apt,9,132.0,779,4.9
West Town,Entire home/apt,43,208.0,309,4.85
West Town,Entire home/apt,52,114.0,225,4.51
Logan Square,Entire home/apt,38,67.0,648,4.81
Lincoln Square,Entire home/apt,31,101.0,429,4.92
Logan Square,Entire home/apt,34,150.0,305,4.88
Lincoln Square,Private room,14,36.0,55,4.56
Edgewater,Private room,23,70.0,142,4.91
Lake View,Entire home/apt,8,276.0,100,4.98
Forest Glen,Private room,2,80.0,119,4.93
Forest Glen,Private room,1,70.0,99,4.93
West Ridge,Private room,23,63.0,31,4.9
Near North Side,Entire home/apt,45,97.0,160,4.87
Lake View,Entire home/apt,9,86.0,867,4.69
Lincoln Square,Entire home/apt,15,142.0,218,4.87
Logan Square,Entire home/apt,37,62.0,31,4.79
Lincoln Park,Private room,8,85.0,159,4.93
Logan Square,Private room,47,110.0,144,4.99
East Garfield Park,Private room,231,136.0,22,4.91
West Town,Entire home/apt,44,206.0,463,4.94
Near West Side,Entire home/apt,133,133.0,41,4.75
Rogers Park,Private room,40,89.0,341,4.98
Rogers Park,Private room,40,79.0,374,4.98
Rogers Park,Private room,40,79.0,340,4.94
Rogers Park,Entire home/apt,43,179.0,292,4.95
Near North Side,Entire home/apt,55,85.0,41,4.66
North Lawndale,Private room,237,45.0,11,4.36
North Lawndale,Private room,240,45.0,5,4.0
Near South Side,Entire home/apt,38,90.0,16,5.0
Near West Side,Entire home/apt,139,174.0,376,4.89
West Town,Entire home/apt,40,126.0,215,4.9
Rogers Park,Entire home/apt,35,149.0,17,4.35
Near West Side,Private room,140,103.0,125,4.65
Lincoln Park,Entire home/apt,9,516.0,116,4.84
Logan Square,Private room,37,90.0,472,4.97
Uptown,Entire home/apt,17,200.0,32,4.65
West Ridge,Shared room,33,18.0,207,4.62
Lincoln Park,Entire home/apt,30,158.0,141,4.82
Beverly,Private room,19,49.0,200,4.85
Lower West Side,Private room,69,47.0,425,4.9
Near North Side,Entire home/apt,41,268.0,52,4.94
Rogers Park,Entire home/apt,43,139.0,209,4.84
Lake View,Entire home/apt,9,74.0,390,4.92
Lincoln Park,Private room,5,155.0,82,4.7
West Town,Entire home/apt,119,110.0,427,4.91
Lake View,Entire home/apt,9,232.0,89,4.83
Lake View,Entire home/apt,12,179.0,30,4.8
Lake View,Entire home/apt,13,379.0,20,4.6
Lake View,Entire home/apt,13,479.0,49,4.9
Lake View,Entire home/apt,12,479.0,35,4.77
Woodlawn,Private room,149,79.0,373,4.89
Hyde Park,Entire home/apt,46,69.0,60,4.48
Lincoln Park,Entire home/apt,6,364.0,155,4.58
North Lawndale,Private room,290,45.0,3,5.0
Irving Park,Entire home/apt,34,89.0,349,4.87
Lake View,Entire home/apt,6,125.0,1,5.0
